,Name,Aggregate Rating,Type,Price,Latitude,Longitude
334,Scugnizzo,4.1,Italian,4,-37.8150745768,144.9558492377
335,Dikstein's Corner Bar,4.2,"Coffee and Tea, Pizza, Cafe Food",3,-37.8162545456,144.9602966756
336,Burger Boys Melbourne,3.8,Burger,3,-37.8174347603,144.9577013031
337,Shuji Sushi,2.8,"Japanese, Sushi",2,-37.8165252338,144.9560426921
338,Saving Grace,3.5,"American, Bar Food",3,-37.8174456195,144.9577023089
339,Syracuse,4.1,"Australian, Contemporary",4,-37.8163965114,144.9602681771
340,Sichuan Dining Room,3.0,"Chinese, Sichuan",3,-37.8070508188,144.9624910578
341,Nice to Meet You,3.0,"Bubble Tea, Desserts",1,-37.8088600283,144.9626875296
342,Spice Up Hot Pot Dips,4.0,"Chinese, Malatang",2,-37.809382916,144.9622862041
343,Phancy Cafe,3.7,"Coffee and Tea, Cafe Food",2,-37.8091866349,144.9582082406
344,Market Espresso,3.8,"Sandwich, Coffee and Tea, Cafe Food",1,-37.8080619154,144.9578106031
345,El Rincon,3.9,"Spanish, Bar Food, Cafe Food",3,-37.8063186459,144.9590883404
346,Original Chai Co,3.7,Tea,1,-37.8072153183,144.9580359086
347,Wonderbao,4.6,"Chinese, Taiwanese",1,-37.8089773737,144.9627716839
348,Smile Bread,3.2,"Bakery, Desserts",2,-37.8101089662,144.9610976502
349,Drums Cafe,3.5,"Indian, Sri Lankan",2,-37.8062969243,144.9590336904
350,The Vine Coffee Roasters,3.5,"Coffee and Tea, Sandwich",2,-37.8083082638,144.9630563334
351,Canton Malay,3.5,"Chinese, Malaysian",2,-37.8063011627,144.9589864165
352,The Bean Project,3.3,"Coffee and Tea, Sandwich",1,-37.8083620365,144.9630791321
353,Little Charley,0.0,"Cafe Food, Bar Food",2,-37.8092690147,144.9626643956
354,Q75,3.3,"Coffee and Tea, American",2,-37.8062876529,144.95877821
355,The Oxford Scholar Hotel,3.3,"Pub Food, Modern Australian",3,-37.8084772637,144.9631746858
356,Funk Fish Cafe,3.0,Fish and Chips,2,-37.806452419,144.9584888667
357,Geloso Gelateria,3.9,"Ice Cream, Desserts, Coffee and Tea",1,-37.8073125344,144.9577355012
358,Little Bang Espresso,3.6,Coffee and Tea,1,-37.8079323835,144.9632554874
359,Roasted @ QVM,0.0,American,2,-37.8062953349,144.9585897848
360,Pho7,2.9,"Vietnamese, Pho",2,-37.8149262517,144.9636541307
361,Thailander - Galleria,3.2,Thai,2,-37.814987171,144.9628746137
362,Soul Origin,3.1,"Healthy Food, Cafe Food, Coffee and Tea, Sandwich",2,-37.8149985602,144.9629396573
363,Dari Korean Café and Bar,4.1,"Cafe Food, Korean",2,-37.8140312621,144.961390011
364,Triim,3.5,"Italian, Mediterranean",4,-37.8140063643,144.9613786116
365,CHE Desserts,4.0,"Desserts, Beverages, Vietnamese",1,-37.8125026828,144.9619502574
366,The Cupcake Queens,0.0,"Bakery, Desserts",1,-37.8139284926,144.9613447487
367,French Saloon Bar & Bistro,4.0,French,4,-37.813597669,144.9612927809
368,Kirk's Wine Bar,4.0,Bar Food,3,-37.813651173,144.961290434
369,Chinta Ria Soul,2.9,Malaysian,2,-37.812252905,144.9637235329
370,I Love Pho Express,3.3,"Vietnamese, Pho, Asian",2,-37.8122833657,144.9638308212
371,Top Gyoza,2.8,Japanese,2,-37.8150261063,144.9628612027
372,Thailander - Emporium,0.0,Thai,2,-37.8122415153,144.9637044221
373,The Honourable Judge,3.0,"Coffee and Tea, Sandwich",2,-37.8123538227,144.9640162289
374,Larder Section,3.9,"Sandwich, Coffee and Tea, Cafe Food",2,-37.813845853,144.9612998217
375,Gourmet Curry Hut,3.5,Indian,3,-37.8148409646,144.9640380219
376,Eva's Restaurant & Bar,0.0,Modern Australian,4,-37.8128139106,144.9646408483
377,Milksha,4.0,Bubble Tea,1,-37.8149906142,144.9636578187
379,David Jones Food Hall - Bakery ,0.0,Bakery,2,-37.814179589,144.9648021162
380,Tazio,4.4,"Italian, Pizza",3,-37.8153031558,144.9711800739
381,Bowery to Williamsburg,4.4,"American, Coffee and Tea, Cafe Food",3,-37.8162664644,144.970263429
382,Mrs Singh,3.6,Indian,4,-37.8151829069,144.9712531641
383,Cafe SoHo - CBD,3.6,"Chinese, Cantonese, Coffee and Tea",2,-37.8137997656,144.9667457119
384,@Siam Thai Restaurant,4.0,"Thai, Asian",3,-37.8127723253,144.9686356634
385,Thai Tide,3.8,Thai,3,-37.8127953694,144.9684177339
386,Joy Cupcakes,3.8,Desserts,1,-37.8130536213,144.9702231959
387,Max Asian Food,0.0,Asian,2,-37.8138124793,144.9666716158
388,OK Chicken (Warra Warra Kitchen),4.5,"Fried Chicken, Korean, Asian",3,-37.8141003931,144.9665167183
389,Roll'd - Southern Cross Lane,2.9,"Vietnamese, Healthy Food",2,-37.8129829001,144.9701413885
390,KFC,2.8,"Fast Food, Fried Chicken",2,-37.8130790491,144.9674558267
391,Trinket,3.8,"Italian, Bar Food",4,-37.8152464747,144.971325919
392,Nashi - SX2 Southern Cross Lane,3.2,"Healthy Food, Salad, Sandwich",1,-37.8129450231,144.9701108784
393,Swiss Club Restaurant,4.1,"European, Swiss",4,-37.8152666044,144.9713275954
394,Nana Thai Style Hotpot & BBQ,3.6,"Thai, BBQ, Hot Pot",1,-37.8127108744,144.9685803428
395,MoVida Bar De Tapas,4.7,"Spanish, Tapas",4,-37.8167026904,144.9691895396
396,VB Rolls,3.4,"Vietnamese, Sandwich",2,-37.8138408205,144.9665834382
397,Sushi Land,3.3,Sushi,2,-37.8151654258,144.9714000151
398,Final Pass,3.4,Drinks Only,1,-37.8131582462,144.9672231451
399,Pastuso,4.6,"Latin American, Peruvian",4,-37.8158421546,144.9710432813
